Program performance: -53820511667558.15 frames per second.
[Wave #1] ID: 71, Birth: 161, Death: 164Max Displacement: 141, Max Mass: 350
[Wave #2] ID: 77, Birth: 163, Death: 165Max Displacement: 76, Max Mass: 241
[Wave #3] ID: 79, Birth: 163, Death: 166Max Displacement: 133, Max Mass: 504
[Wave #4] ID: 82, Birth: 164, Death: 166Max Displacement: 81, Max Mass: 402
[Wave #5] ID: 87, Birth: 165, Death: 168Max Displacement: 130, Max Mass: 712
[Wave #6] ID: 89, Birth: 166, Death: 168Max Displacement: 75, Max Mass: 355
[Wave #7] ID: 90, Birth: 166, Death: 168Max Displacement: 76, Max Mass: 533
[Wave #8] ID: 96, Birth: 167, Death: 170Max Displacement: 123, Max Mass: 924
[Wave #9] ID: 100, Birth: 168, Death: 170Max Displacement: 76, Max Mass: 444
[Wave #10] ID: 102, Birth: 168, Death: 170Max Displacement: 76, Max Mass: 685
[Wave #11] ID: 110, Birth: 169, Death: 172Max Displacement: 122, Max Mass: 988
[Wave #12] ID: 115, Birth: 170, Death: 172Max Displacement: 76, Max Mass: 468
[Wave #13] ID: 117, Birth: 170, Death: 172Max Displacement: 76, Max Mass: 756
[Wave #14] ID: 126, Birth: 171, Death: 174Max Displacement: 128, Max Mass: 760
[Wave #15] ID: 127, Birth: 171, Death: 174Max Displacement: 121, Max Mass: 1092
[Wave #16] ID: 131, Birth: 172, Death: 174Max Displacement: 75, Max Mass: 508
[Wave #17] ID: 138, Birth: 173, Death: 176Max Displacement: 129, Max Mass: 783
[Wave #18] ID: 139, Birth: 173, Death: 176Max Displacement: 121, Max Mass: 1141
[Wave #19] ID: 143, Birth: 174, Death: 176Max Displacement: 76, Max Mass: 566
[Wave #20] ID: 150, Birth: 175, Death: 178Max Displacement: 129, Max Mass: 832
[Wave #21] ID: 151, Birth: 175, Death: 178Max Displacement: 121, Max Mass: 1191
[Wave #22] ID: 155, Birth: 176, Death: 178Max Displacement: 76, Max Mass: 599
[Wave #23] ID: 163, Birth: 177, Death: 180Max Displacement: 129, Max Mass: 893
[Wave #24] ID: 164, Birth: 177, Death: 180Max Displacement: 118, Max Mass: 1239
[Wave #25] ID: 168, Birth: 178, Death: 180Max Displacement: 77, Max Mass: 568
[Wave #26] ID: 175, Birth: 179, Death: 182Max Displacement: 121, Max Mass: 1210
[Wave #27] ID: 179, Birth: 180, Death: 182Max Displacement: 76, Max Mass: 500
[Wave #28] ID: 182, Birth: 180, Death: 182Max Displacement: 65, Max Mass: 726
[Wave #29] ID: 188, Birth: 181, Death: 184Max Displacement: 117, Max Mass: 1127
[Wave #30] ID: 193, Birth: 182, Death: 184Max Displacement: 76, Max Mass: 442
[Wave #31] ID: 196, Birth: 182, Death: 184Max Displacement: 65, Max Mass: 687
[Wave #32] ID: 201, Birth: 183, Death: 186Max Displacement: 117, Max Mass: 1010
[Wave #33] ID: 205, Birth: 184, Death: 186Max Displacement: 76, Max Mass: 343
[Wave #34] ID: 208, Birth: 184, Death: 186Max Displacement: 65, Max Mass: 642
[Wave #35] ID: 212, Birth: 185, Death: 188Max Displacement: 116, Max Mass: 888
[Wave #36] ID: 215, Birth: 186, Death: 188Max Displacement: 78, Max Mass: 409
[Wave #37] ID: 217, Birth: 186, Death: 188Max Displacement: 64, Max Mass: 501
[Wave #38] ID: 221, Birth: 187, Death: 190Max Displacement: 116, Max Mass: 675
[Wave #39] ID: 224, Birth: 188, Death: 190Max Displacement: 82, Max Mass: 410
[Wave #40] ID: 229, Birth: 189, Death: 192Max Displacement: 119, Max Mass: 485
[Wave #41] ID: 232, Birth: 190, Death: 192Max Displacement: 83, Max Mass: 340
[Wave #42] ID: 237, Birth: 191, Death: 194Max Displacement: 112, Max Mass: 313
[Wave #43] ID: 240, Birth: 192, Death: 194Max Displacement: 85, Max Mass: 215
[Wave #44] ID: 263, Birth: 201, Death: 203Max Displacement: 89, Max Mass: 237
[Wave #45] ID: 277, Birth: 207, Death: 209Max Displacement: 88, Max Mass: 213
[Wave #46] ID: 319, Birth: 227, Death: 229Max Displacement: 78, Max Mass: 486
[Wave #47] ID: 320, Birth: 227, Death: 230Max Displacement: 110, Max Mass: 441
[Wave #48] ID: 325, Birth: 229, Death: 231Max Displacement: 78, Max Mass: 660
[Wave #49] ID: 330, Birth: 230, Death: 233Max Displacement: 116, Max Mass: 954
[Wave #50] ID: 334, Birth: 231, Death: 233Max Displacement: 76, Max Mass: 689
[Wave #51] ID: 335, Birth: 231, Death: 233Max Displacement: 74, Max Mass: 343
[Wave #52] ID: 340, Birth: 232, Death: 235Max Displacement: 115, Max Mass: 1277
[Wave #53] ID: 343, Birth: 233, Death: 235Max Displacement: 76, Max Mass: 896
[Wave #54] ID: 349, Birth: 234, Death: 237Max Displacement: 132, Max Mass: 1260
[Wave #55] ID: 350, Birth: 234, Death: 237Max Displacement: 114, Max Mass: 1559
[Wave #56] ID: 353, Birth: 235, Death: 237Max Displacement: 76, Max Mass: 1049
[Wave #57] ID: 358, Birth: 236, Death: 239Max Displacement: 113, Max Mass: 1920
[Wave #58] ID: 362, Birth: 237, Death: 239Max Displacement: 72, Max Mass: 471
[Wave #59] ID: 364, Birth: 237, Death: 239Max Displacement: 76, Max Mass: 2050
[Wave #60] ID: 368, Birth: 238, Death: 241Max Displacement: 115, Max Mass: 2124
[Wave #61] ID: 372, Birth: 239, Death: 241Max Displacement: 73, Max Mass: 428
[Wave #62] ID: 374, Birth: 239, Death: 241Max Displacement: 75, Max Mass: 2295
[Wave #63] ID: 378, Birth: 240, Death: 243Max Displacement: 113, Max Mass: 2493
[Wave #64] ID: 382, Birth: 241, Death: 243Max Displacement: 75, Max Mass: 515
[Wave #65] ID: 384, Birth: 241, Death: 243Max Displacement: 76, Max Mass: 2617
[Wave #66] ID: 387, Birth: 242, Death: 245Max Displacement: 113, Max Mass: 2677
[Wave #67] ID: 390, Birth: 243, Death: 245Max Displacement: 76, Max Mass: 410
[Wave #68] ID: 392, Birth: 243, Death: 245Max Displacement: 77, Max Mass: 2038
[Wave #69] ID: 395, Birth: 244, Death: 247Max Displacement: 114, Max Mass: 2806
[Wave #70] ID: 399, Birth: 245, Death: 247Max Displacement: 77, Max Mass: 479
[Wave #71] ID: 401, Birth: 245, Death: 247Max Displacement: 77, Max Mass: 2019
[Wave #72] ID: 404, Birth: 246, Death: 249Max Displacement: 114, Max Mass: 3055
[Wave #73] ID: 407, Birth: 247, Death: 249Max Displacement: 75, Max Mass: 509
[Wave #74] ID: 409, Birth: 247, Death: 249Max Displacement: 78, Max Mass: 2364
[Wave #75] ID: 412, Birth: 248, Death: 251Max Displacement: 114, Max Mass: 3321
[Wave #76] ID: 415, Birth: 249, Death: 251Max Displacement: 76, Max Mass: 722
[Wave #77] ID: 417, Birth: 249, Death: 251Max Displacement: 79, Max Mass: 2623
[Wave #78] ID: 420, Birth: 250, Death: 253Max Displacement: 118, Max Mass: 4134
[Wave #79] ID: 423, Birth: 251, Death: 253Max Displacement: 76, Max Mass: 921
[Wave #80] ID: 425, Birth: 251, Death: 253Max Displacement: 79, Max Mass: 3763
[Wave #81] ID: 428, Birth: 252, Death: 255Max Displacement: 118, Max Mass: 5011
